Level	Item	Description	Revision	Type	Status	Engineering Item	Item Seq	Op Seq	Alternate	Engineering Bill	Comments	UOM	Basis	Quantity	Planning %	Yield	Extended Quantity	Effectivity Control	From	To	From Date	To Date	Implemented	ECO	Supply Type	Subinventory	Locator	Costed	Unit Cost	Extended Quantity	Extended Cost	Operation Seq	Manufacturing	Offset	Cumulative Manufacuturing	Cumulative Total	Optional	Mutually Exclusive	ATP	Min Qty	Max Qty	Sales Order Basis	Shippable	Include on Ship Docs	Required To Ship	Required For Revenue	
2	            5626731AXX	EL. CAP. VERT. 105DEG 470U 50V 13X21 STD P5	0	Purchased item	ACTIVEROHS		10	1				Pz	Item	1	100	1	2	Date			25-SEP-2007 05:27:24		*		Operation Pull			*	.4227272727272727272727272727272727272727	2	.8454545454545454545454545454545454545454	1	45		0				*			None	*				
1	    -  5627320AB0	COND.CER.100nF200V SR302C104M PREF: 56-TC P=3.8	0	Finished good	ACTIVE		150	1				Pz	Item	2	100	1	2	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	.51021	2	1.02042	1							*			None	*				
2	            5627320AXX	CER. CAP. 100nF 200V SR302C104M	0	Purchased item	ACTIVEROHS		10	1				Pz	Item	1	100	1	2	Date			13-FEB-2007 02:30:43		*		Operation Pull			*	.478452380952380952380952380952380952381	2	.956904761904761904761904761904761904762	1	72		0				*			None	*				
1	    -  5728208AB0	RESIST.1/4W 5% 4K7 PREF: 57-TA P=4 L=10	0	Finished good	ACTIVE		160	1				Pz	Item	1	100	1	1	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	.04271	1	.04271	1							*			None	*				
2	            5728208AXX	RESIST.1/4W 5% 4K7	0	Purchased item	ACTIVE		10	1				Pz	Item	1	100	1	1	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.03	1	.03	1	216						*			None	*				
1	        5931336AXX	MALE FASTON PCB CONN. P5 180DEG SINGLE	0	Purchased item	ACTIVEROHS		210	1				Pz	Item	2	100	1	2	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	.13	2	.26	1	30						*			None	*				
1	        5931571AXX	CON PCB PIN M P.6.35 2P  180D 94V0	0	Purchased item	ACTIVEROHS		220	1				Pz	Item	1	100	1	1	Date			23-NOV-2011 09:05:00		*		Operation Pull	1-CHI		*	.87	1	.87	1	60						*			None	*				
1	        5931573AXX	CON PCB PIN M P.6.35 3P  180D 94V0	0	Purchased item	ACTIVEROHS		230	1				Pz	Item	1	100	1	1	Date			23-NOV-2011 09:05:00		*		Operation Pull	1-CHI		*	1	1	1	1	60						*			None	*				
1	        5931720AXX	CON PCB PIN F P.6.35 2P 180D POL. 94V0	0	Purchased item	ACTIVE		240	1				Pz	Item	1	100	1	1	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	.87	1	.87	1	60						*			None	*				
1	        5931721AXX	CON PCB PIN F P.6.35 3P 180D POL. 94V0	0	Outside Processing Item	ACTIVE		250	1				Pz	Item	4	100	1	4	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	1	4	4	1	60						*			None	*				
1	        60C507A059	SPACER FR4 THICKNESS 1.6MM FOR DIODE BRIDGE C.S.09809	0	Purchased item	ACTIVE		270	1				Pz	Item	1	100	1	1	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	.1501886792452830188679245283018867924528	1	.1501886792452830188679245283018867924528	1	30						*			None	*				
1	        6235130AXX	PRODUCT IDENTIFICATION LABEL - UL REC. MATERIAL (BLANK)	0	Purchased item	ACTIVEROHS		280	1				Pz	Item	2	100	.95	2.10526315789473684210526315789473684211	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	.09	2.10526315789473684210526315789473684211	.1894736842105263157894736842105263157899	1	36									None	*				
1	    -  98C507K008	KIT DIODES BRIDGE 5526250AXX PREF: 55-TH  P=5	0	Finished good	ACTIVE		290	1				Pz	Item	1	100	1	1	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	.77704	1	.77704	1										None	*				
2	            5526250AXX	DIODE BRIDGE 1A 100V	0	Purchased item	ACTIVEROHS		10	1				Pz	Item	1	100	1	1	Date			31-DEC-2009 02:34:08		*		Operation Pull			*	.65	1	.65	1	60						*			None	*				
1	    -  0907822AB1	TRANSIENT SUPPR 30RMS 47V D07 NO PHILIPS PREF:09-TB P1=3.2	0	Finished good	ACTIVE		460	1				Pz	Item	1	100	1	1	Date			10-APR-2013 09:25:09		*		Operation Pull	1-CHI		*	.3064	1	.3064	1							*			None	*				
2	            0907822AXX	TRANSIENT SUPPR. 30 RMS 47V D07 NO PHILIPS	0	Purchased item	ACTIVEROHS		10	1				Pz	Item	1	100	1	1	Date			08-DEC-2008 09:42:02		*		Operation Pull			*	.227	1	.227	1	92						*			None	*				
1	        60C507A046	C.S.01549E BASE COMFORT 230V	0	Purchased item	ACTIVE		470	1				Pz	Item	1	100	1	1	Date			28-MAR-2014 09:52:20		*		Operation Pull	1-CHI		*	12.47638615338704864219635929573261712922	1	12.47638615338704864219635929573261712922	1	30						*			None	*				
1	        0907593AXX	TR C.S.EI38 4.5VA 230/21V T70/B	0	Purchased item	ACTIVE		480	1				Pz	Item	1	100	1	1	Date			13-APR-2015 10:56:51		*		Operation Pull	1-CHI		*	11.5	1	11.5	1	35						*			None	*				
1	    -  98C507C016	SEM.COLL COMFORT 115/230V SCH.MICRO	0	Finished good	PHASE-OUT		440	20				Pz	Item	1	100	1	1	Date			23-OCT-2012 05:18:36		*		Phantom	1-CHI		*	57.59137	1	57.59137	20	0						*			None	*				
2	        -  0907921AB2	INDUCTOR 470uH +/-10%  (10X14MAX) PREF: 09-TD P=3	0	Finished good	ACTIVE		10	1				Pz	Item	1	100	.98	1.02040816326530612244897959183673469388	Date			05-MAR-2015 03:13:12		*		Operation Pull	1-CHI		*	.52382	1.02040816326530612244897959183673469388	.5345102040816326530612244897959183673482	1							*			None	*				
3	                0907921AXX	INDUCTOR 470uH +/-10%  (10X14MAX) RADIAL	0	Purchased item	ACTIVEROHS		10	1				Pz	Item	1	100	1	1.02040816326530612244897959183673469388	Date			12-JUL-2010 08:39:18		*		Operation Pull			*	.5	1.02040816326530612244897959183673469388	.51020408163265306122448979591836734694	1	60						*			None	*				
2	        -  5626739AB0	EL. CAP. VERT. 105DEG 220U 16V 8X12  STD P3.5 PREF: 56-TA P=4	0	Finished good	ACTIVE		20	1				Pz	Item	1	100	1	1	Date			19-OCT-2012 04:52:01		*		Operation Pull	1-CHI		*	.25687	1	.25687	1							*			None	*				
3	                5626739AXX	EL. CAP. VERT. 105DEG 220U 16V 8X12  STD P3.5	0	Purchased item	ACTIVEROHS		10	1				Pz	Item	1	100	1	1	Date			16-FEB-2005 10:37:07		*		Operation Pull			*	.16	1	.16	1	45		0	55			*			None	*				
2	            5931134AXX	CONN. JST SERIES XH P2,5 2V. 180D	0	Purchased item	ACTIVEROHS		30	1				Pz	Item	5	100	1	5	Date			19-OCT-2012 04:52:14		*		Operation Pull	1-CHI		*	.0352	5	.176	1	36						*			None	*				
2	            5931139AXX	CONN.JST SERIE XH P2.5 3V  180G.	0	Purchased item	ACTIVE		40	1				Pz	Item	2	100	1	2	Date			19-OCT-2012 04:52:27		*		Operation Pull	1-CHI		*	.148	2	.296	1	36						*			None	*				
2	            5931214AXX	CONN. MICROMATCH 8P PCB AMP FEMALE	0	Purchased item	ACTIVEROHS		50	1				Pz	Item	1	100	.985	1.01522842639593908629441624365482233503	Date			19-JUN-2013 08:31:40		*		Operation Pull	1-CHI		*	1.03046153846153846153846153846153846154	1.01522842639593908629441624365482233503	1.04615384615384615384615384615384615385	1	168						*			None	*				
2	            5931311AXX	CONNECTOR FOR PCB - MALE - 180G.P2 4POLES	0	Purchased item	ACTIVE		60	1				Pz	Item	1	100	.97	1.03092783505154639175257731958762886598	Date			19-OCT-2012 04:52:50		*		Operation Pull	1-CHI		*	.23	1.03092783505154639175257731958762886598	.2371134020618556701030927835051546391754	1	84						*			None	*				
2	            5931323AXX	PCB MALE CONN. 180DEG. P2 8POLES	0	Purchased item	ACTIVEROHS		70	1				Pz	Item	1	100	.98	1.02040816326530612244897959183673469388	Date			19-OCT-2012 04:53:01		*		Operation Pull	1-CHI		*	.47	1.02040816326530612244897959183673469388	.4795918367346938775510204081632653061236	1	84						*			None	*				
2	        -  98C507K013	PREF. KIT  5626814AXX PREF: 56-TA P=3,5	0	Finished good	ACTIVE		80	1				Pz	Item	1	100	1	1	Date			19-OCT-2012 04:53:23		*		Operation Pull	1-CHI		*	.33771	1	.33771	1							*			None	*				
3	                5626814AXX	EL.CAP. VERT. 105 100U 50V 10X16  STD  P5	0	Purchased item	ACTIVE		10	1				Pz	Item	1	100	1	1	Date			11-FEB-2010 06:46:25		*		Operation Pull			*	.3	1	.3	1	45		0	85			*			None	*				
2	        -  98C507SD16	SEM.SMD COMFORT 115/230V SCH.MICRO	0	Finished good	ACTIVE		90	1				Pz	Item	1	100	1	1	Date			19-OCT-2012 04:51:49		*		Operation Pull	1-CHI		*	52.23711	1	52.23711	1							*			None	*				
3	                0605688SMD	PTC FUSIBILE IMAX=0.14A	0	Purchased item	ACTIVEROHS		10	1				Pz	Item	1	100	.995	1.00502512562814070351758793969849246231	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.55	1.00502512562814070351758793969849246231	.5527638190954773869346733668341708542705	1	168						*			None	*				
3	                0907576SMD	SMD TRANSF DC-DC CONVERTER	0	Purchased item	ACTIVEROHS		20	1				Pz	Item	1	100	.95	1.05263157894736842105263157894736842105	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	1.55176803921568627450980392156862745098	1.05263157894736842105263157894736842105	1.63344004127966976264189886480908152734	1	116						*			None	*				
3	                0907801SMD	VARIS 30 RMS 38V 1210	0	Purchased item	ACTIVEROHS		30	1				Pz	Item	1	100	.995	1.00502512562814070351758793969849246231	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.82	1.00502512562814070351758793969849246231	.8241206030150753768844221105527638190942	1	84						*			None	*				
3	                0907805SMD	VARIS 4 RMS 8V 1206	0	Purchased item	ACTIVEROHS		40	1				Pz	Item	3	100	.99	3.03030303030303030303030303030303030303	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.35	3.03030303030303030303030303030303030303	1.06060606060606060606060606060606060606	1	72						*			None	*				
3	                0907860S08	SMD EMI FILTER 0805 120R/100MHZ	0	Purchased item	ACTIVEROHS		50	1				Pz	Item	3	100	.985	3.04568527918781725888324873096446700508	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0725641025641025641025641025641025641026	3.04568527918781725888324873096446700508	.2210074189769621241702459976571651698559	1	156						*			None	*				
3	                0907863SMD	SMD 4 FERRITE ARRAY 220R	0	Purchased item	ACTIVEROHS		60	1				Pz	Item	1	100	.99	1.01010101010101010101010101010101010101	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.9898734177215189873417721518987341772152	1.01010101010101010101010101010101010101	.9998721391126454417593658099987213911264	1	84						*			None	*				
3	                5124716SMD	I.C.74V1G14 SMD SOT323-5L	0	Purchased item	ACTIVEROHS		70	1				Pz	Item	2	100	.97	2.06185567010309278350515463917525773196	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.1788384615384615384615384615384615384615	2.06185567010309278350515463917525773196	.3687390959555908009516256938937351308487	1	104						*			None	*				
3	                5125012SMD	SMD C.I.LMV321M5X S0T23-5  IN BOBINA	0	Purchased item	ACTIVE		80	1				Pz	Item	1	100	.97	1.03092783505154639175257731958762886598	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.6452350351282051282051282051282051282051	1.03092783505154639175257731958762886598	.6651907578641289981496167063177372455727	1	216						*			None	*				
3	                5125050SMD	I.C. VOLTAGE STABILIZER 78L05	0	Purchased item	ACTIVEROHS		90	1				Pz	Item	1	100	.995	1.00502512562814070351758793969849246231	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.2794624045584045584045584045584045584046	1.00502512562814070351758793969849246231	.2808667382496528225171441251843261893509	1	252						*			None	*				
3	                5125103SMD	I.C.DC-DC CONVERTER -40/+85	0	Purchased item	ACTIVEROHS		100	1				Pz	Item	1	100	.995	1.00502512562814070351758793969849246231	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.5219550085470085470085470085470085470085	1.00502512562814070351758793969849246231	.5245778980371945196065799080874457758871	1	74						*			None	*				
3	                5125107SMD	I.C. UP RESET SOT23 4.63V -809	0	Purchased item	ACTIVEROHS		110	1				Pz	Item	1	100	.995	1.00502512562814070351758793969849246231	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.3815333333333333333333333333333333333333	1.00502512562814070351758793969849246231	.3834505862646566164154103852596314907866	1	112						*			None	*				
3	                5125217SMD	C.I.74LVQ4066 SMD	0	Purchased item	ACTIVE		120	1				Pz	Item	1	100	.97	1.03092783505154639175257731958762886598	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	1.69170125	1.03092783505154639175257731958762886598	1.74402190721649484536082474226804123711	1	90						*			None	*				
3	                5125406SMD	C.I.HEX INVERTER 74AC14  TSSOP14	0	Purchased item	ACTIVE		130	1				Pz	Item	2	100	.97	2.06185567010309278350515463917525773196	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.5614160769230769230769230769230769230769	2.06185567010309278350515463917525773196	1.15755892149088025376685170499603489294	1	132						*			None	*				
3	                5125407SMD	I.C. IMCROP.NEC UPD78F0078	0	Purchased item	NOT4NEWD		140	1				Pz	Item	1	100	.998	1.00200400801603206412825651302605210421	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	25.76332270393209688386597575558629745129	1.00200400801603206412825651302605210421	25.81495260915039767922442460479588922979	1	206						*			None	*				
3	                5125409SMD	I.C.RS-485/422 TRANSCEIVER  SO-8	0	Purchased item	ACTIVEROHS		150	1				Pz	Item	1	100	.995	1.00502512562814070351758793969849246231	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	2.0182623030303030303030303030303030303	1.00502512562814070351758793969849246231	2.02840432465357088472666362113598294502	1	312						*			None	*				
3	                5125463SMD	C.I.EEPROM 24C16 SMD  TSSOP	0	Purchased item	ACTIVE		160	1				Pz	Item	1	100	.97	1.03092783505154639175257731958762886598	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.3624714285714285714285714285714285714286	1.03092783505154639175257731958762886598	.3736818851251840942562592047128129602359	1	168						*			None	*				
3	                5225524S08	SMD LED VERDE 0805 WATWECLEAR NASTR.	0	Purchased item	ACTIVEROHS		170	1				Pz	Item	1	100	.98	1.02040816326530612244897959183673469388	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.091	1.02040816326530612244897959183673469388	.0928571428571428571428571428571428571431	1	96						*			None	*				
3	                5225564SMD	OPTO ACCOPP.4PIN CTR100-300 SMALL SIZE	0	Purchased item	ACTIVE		180	1				Pz	Item	3	100	.97	3.09278350515463917525773195876288659794	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.32	3.09278350515463917525773195876288659794	.9896907216494845360824742268041237113408	1	96						*			None	*				
3	                5326002SMD	SMD TRANS.BC807/25 PNP  SOT23	0	Purchased item	ACTIVEROHS		190	1				Pz	Item	1	100	.995	1.00502512562814070351758793969849246231	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0595200958772770853307766059443911792905	1.00502512562814070351758793969849246231	.0598191918364593822419865386375790746637	1	96						*			None	*				
3	                5326003SMD	SMD TRANSISTOR BC817/25-BCX19SOT23	0	Purchased item	ACTIVEROHS		200	1				Pz	Item	3	100	.995	3.01507537688442211055276381909547738693	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0563347173144876325088339222614840989399	3.01507537688442211055276381909547738693	.1698534190386561784185947404868867304718	1	196						*			None	*				
3	                5326011SMD	DIG.TRANS.NPN BCR112 S0T23	0	Purchased item	ACTIVEROHS		210	1				Pz	Item	8	100	.995	8.04020100502512562814070351758793969849	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0588	8.04020100502512562814070351758793969849	.4727638190954773869346733668341708542712	1	204						*			None	*				
3	                5326012SMD	DIGITAL TRANSISTOR PNP SOT23	0	Purchased item	ACTIVEROHS		220	1				Pz	Item	4	100	.995	4.02010050251256281407035175879396984925	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.1630382978723404255319148936170212765957	4.02010050251256281407035175879396984925	.6554303432053886453544317331337538757622	1	168						*			None	*				
3	                5326021SMD	SMD TRANS.PNP 1A BCP53-16 SOT223	0	Purchased item	ACTIVEROHS		230	1				Pz	Item	1	100	.99	1.01010101010101010101010101010101010101	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.2211875806451612903225806451612903225806	1.01010101010101010101010101010101010101	.2234217986314760508308895405669599217986	1	84						*			None	*				
3	                5526102SMD	SMD DIODE  BAV70 SOT23	0	Purchased item	ACTIVEROHS		240	1				Pz	Item	4	100	.995	4.02010050251256281407035175879396984925	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0513	4.02010050251256281407035175879396984925	.2062311557788944723618090452261306532665	1	78						*			None	*				
3	                5526111SMD	SMD DIODE BAV99 SOT23 TAPE+REEL	0	Purchased item	ACTIVEROHS		250	1				Pz	Item	10	100	.995	10.05025125628140703517587939698492462312	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0441435816164817749603803486529318541997	10.05025125628140703517587939698492462312	.4436540865978067835214105392254457708515	1	96						*			None	*				
3	                5526114SMD	SMD SHOTTKY DIODE STPS140U	0	Purchased item	ACTIVEROHS		260	1				Pz	Item	1	100	.995	1.00502512562814070351758793969849246231	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.2162125189189189189189189189189189189189	1.00502512562814070351758793969849246231	.2172990139888632350943908732853456471543	1	212						*			None	*				
3	                5526135SMD	SMD DIODE BAT54C SOT23	0	Purchased item	ACTIVEROHS		270	1				Pz	Item	2	100	.99	2.02020202020202020202020202020202020202	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0776603381642512077294685990338164251208	2.02020202020202020202020202020202020202	.1568895720489923388474113111794271214561	1	122						*			None	*				
3	                5526203SMD	SMD DIODE ZENER3V9 350mW SOT23	0	Purchased item	ACTIVEROHS		280	1				Pz	Item	2	100	.97	2.06185567010309278350515463917525773196	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0845	2.06185567010309278350515463917525773196	.1742268041237113402061855670103092783506	1	204						*			None	*				
3	                5526233SMD	SMD ZENER 22V 0,3W SOT23	0	Purchased item	ACTIVE		290	1				Pz	Item	1	100	.97	1.03092783505154639175257731958762886598	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0566	1.03092783505154639175257731958762886598	.0583505154639175257731958762886597938145	1	168						*			None	*				
3	                5626303SMD	SMD EL.CAP 10UF 16V D4 105	0	Purchased item	ACTIVEROHS		300	1				Pz	Item	1	100	.995	1.00502512562814070351758793969849246231	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.1504	1.00502512562814070351758793969849246231	.1511557788944723618090452261306532663314	1	119						*			None	*				
3	                5626705SMD	SMD EL.CAP 33UF 25V D6 105	0	Purchased item	ACTIVEROHS		310	1				Pz	Item	1	100	.98	1.02040816326530612244897959183673469388	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.22	1.02040816326530612244897959183673469388	.2244897959183673469387755102040816326536	1	204						*			None	*				
3	                5627208S08	SMD CER. CAP. 470p63V 0805 X7RNISN	0	Purchased item	ACTIVEROHS		320	1				Pz	Item	1	100	.995	1.00502512562814070351758793969849246231	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.134224	1.00502512562814070351758793969849246231	.1348984924623115577889447236180904522611	1	96		0	45			*			None	*				
3	                5627303S08	SMD C.CER.50V X7R 0805 47NF  NISN	0	Purchased item	ACTIVEROHS		330	1				Pz	Item	16	100	.995	16.08040201005025125628140703517587939698	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0297879518072289156626506024096385542169	16.08040201005025125628140703517587939698	.4790022401162438699521704910092631833872	1	96						*			None	*				
3	                5627316S08	SMD CER. CAP. 100n 50V 0805 X7R  NISN	0	Purchased item	ACTIVEROHS		340	1				Pz	Item	2	100	.995	2.01005025125628140703517587939698492462	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0210527415143603133159268929503916449086	2.01005025125628140703517587939698492462	.042317068370573494102365613970636472178	1	96		0	45			*			None	*				
3	                5627341SMD	SMD ARRAY CER. CAP. 100NF 10% 16V  4CAP/8PIN	0	Purchased item	NOT4NEWD		350	1				Pz	Item	1	100	.995	1.00502512562814070351758793969849246231	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.2077025771144278606965174129353233830846	1.00502512562814070351758793969849246231	.2087463086577164429110727768194204855118	1	270						*			None	*				
3	                5627832S06	SMD CER. CAP. 16V X7R 100NF 0603	0	Purchased item	ACTIVEROHS		360	1				Pz	Item	16	100	.995	16.08040201005025125628140703517587939698	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0132585113714679531357684355616815988973	16.08040201005025125628140703517587939698	.2132021929080273871078341396853322435746	1	96		0	65			*			None	*				
3	                5627842SMD	SMD C.CER.47NF X7R 630V 1210	0	Purchased item	ACTIVEROHS		370	1				Pz	Item	1	100	.99	1.01010101010101010101010101010101010101	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.7838837209302325581395348837209302325581	1.01010101010101010101010101010101010101	.7918017383133662203429645290110406389475	1	96						*			None	*				
3	                5627843S06	SMD CER. CAP. 50V X7R 100PF	0	Purchased item	ACTIVEROHS		380	1				Pz	Item	1	100	.99	1.01010101010101010101010101010101010101	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.012197560975609756097560975609756097561	1.01010101010101010101010101010101010101	.0123207686622320768662232076866223207687	1	96						*			None	*				
3	                5627855S06	CER. CAP.  SMD 50V X7R 1NF NISN 0603	0	Purchased item	ACTIVEROHS		390	1				Pz	Item	16	100	.995	16.08040201005025125628140703517587939698	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0072595215311004784688995215311004784689	16.08040201005025125628140703517587939698	.1167360246207112115601933110528720155803	1	96						*			None	*				
3	                5627879S06	COND.CER.SMD 50V NPO 10PF NISN 0603	0	Purchased item	ACTIVE		400	1				Pz	Item	1	100	.97	1.03092783505154639175257731958762886598	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.0113354166666666666666666666666666666667	1.03092783505154639175257731958762886598	.0116859965635738831615120274914089347079	1	96						*			None	*				
3	                5627918S06	CER. CAP.  SMD 6V3 X5R 1UF  NISN 0603	0	Purchased item	ACTIVE		410	1				Pz	Item	3	100	.995	3.01507537688442211055276381909547738693	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.1007443181818181818181818181818181818182	3.01507537688442211055276381909547738693	.3037517131110095934216537231612608497026	1	96						*			None	*				
3	                5727980S08	SMD RESIST.1/10W 5% 0R  0805	0	Purchased item	ACTIVEROHS		420	1				Pz	Item	3	100	.99	3.03030303030303030303030303030303030303	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.00569047619047619047619047619047619047619	3.03030303030303030303030303030303030303	.0172438672438672438672438672438672438672	1	96						*			None	*				
3	                5727982S08	SMD RESIST.1/10W 5% 1R5 0805  HF 769 L.6.20	0	Purchased item	ACTIVEROHS		430	1				Pz	Item	2	100	.995	2.01005025125628140703517587939698492462	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.005604347826086956521739130434782608695652	2.01005025125628140703517587939698492462	.0112650207559536814507319204719248415993	1	96						*			None	*				
3	                5728000S06	SMD RESIST.1/16W 5% 10R OHM  0603	0	Purchased item	ACTIVEROHS		440	1				Pz	Item	1	100	.985	1.01522842639593908629441624365482233503	Date			23-NOV-2011 09:00:00		*		Operation Pull			*	.002875	1.01522842639593908629441624365482233503	.002918781725888324873096446700507614213211	1	96						*			None	*				
